data,overall,north_east,north,west,capital,south_east,south,east,badakhshan,balkh.x,badghis,baghlan,bamyan.x,farah,faryab,ghor,ghazni.x,herat,helmand,jawzjan,kabul.x,kandahar.x,kunduz.x,kunar,khost,laghman,logar,nangarhar,nuristan,paktya,paktika,samangan,sar_e_pul.x,takhar,uruzgan,maidan_wardak,faiz_abad_badakhshan,baharak_badakhshan,yaftal_e_sufla,yawan,argo,kohestan_badakhshan,keshem,jorm,nahr_e_shahi,mazar_e_sharif,dehdadi,sholgareh,zari,balkh.y,chemtal,qala_e_naw,muqur_badghis,jawand,ab_kamari,pul_e_khumri,doshi,burka,baghlan_e_jadid,nahrin,bamyan.y,bala_buluk,qala_e_kah,maymana,feroz_koh,dawlatyar,shahrak,deh_yak,andar,ghazni.y,muqur_ghazni,giro,qarabagh,waghaz,hirat,injil,guzara,lashkargah,nahr_e_saraj,sheberghan,aqcha,kabul.y,bagrami,deh_sabz,paghman,kandahar.y,daman,maywand,arghandab,zheray,dand,panjwayi,spin_boldak,kunduz.y,chawkay,asad_abad,watapur,shigal,bar_kunar,dara_e_pech,sar_kani,marawara,narang,khas_kunar,nurgal,ghazi_abad,Dara-e-pech,nari,dangam,chapa_dara,matun,mandozayi,gurbuz,tani,terezayi,qalandar,mehtarlam,qarghayi,pul_e_alam,surkh_rod,rodat,jalalabad,behsud,bati_kot,chaparhar,khogyani,achin,nazyan,dur_baba,deh_bala,kama,shinwar,pachir_wa_agam,wama,barg_e_matal,waygal,parun,kamdesh,mandol,nurgaram,gardez,shawak,sayed_karam,samkani,ahmadaba,dand_wa_patan,ziruk,sharan,mata_khan,urgun,barmal,surobi_paktika,zarghun_shahr,yosuf_khel,aybak,hazrat_e_sultan,dara_e_suf_e_bala,dara_e_suf_e_payin,sar_e_pul.y,taloqan,yangi_qala,bangi,baharak,tirinkot,maydan_shahr,nerkh,dawlatabad_balkh,karukh,muhmand_dara,duab,secure_tenure,insecure_tenure,service_inaccess,service_access,adequate_shelter,inadequate_shelter,less_5years,over_5years,mixed_popn,seperate_popn,recent_return,no_recent_return,suburb_location,rural_location,urban_location,small_site,large_site,ghazni,balkh,kabul
Prolonged IDP (displaced between 6 months and 2 years),77,84,80,4,58,52,93,88,76,93,9,89,100,33,91,0,47,0,83,97,52,95,85,95,40,86,88,89,67,81,60,57,67,81,100,100,53,89,100,0,100,100,100,100,91,100,93,100,100,100,100,0,33,0,0,94,50,57,100,100,100,50,0,91,0,0,0,100,50,38,0,100,0,100,0,0,0,75,100,97,100,46,77,50,100,91,94,100,100,100,100,100,100,85,100,100,100,100,100,86,100,100,100,100,100,75,100,100,0,100,28,62,60,0,100,100,86,87,88,94,100,100,100,100,88,75,75,100,100,50,100,0,50,100,50,50,67,60,0,100,89,0,100,100,100,0,0,67,100,0,50,100,100,100,62,52,0,100,67,87,100,29,100,100,100,100,100,0,100,100,79,74,77,78,80,50,73,78,80,71,88,85,80,80,75,75,92,NA,NA,NA
Protracted IDP (displaced more than 2 years),75,71,73,96,84,32,71,93,73,86,91,87,0,67,84,100,53,100,88,94,84,67,55,98,24,90,100,99,67,50,13,43,63,70,100,75,87,68,50,100,0,0,100,100,83,100,79,100,100,100,100,100,67,100,100,87,67,86,93,100,0,50,100,84,100,100,100,0,0,75,100,0,0,100,100,100,100,81,100,94,100,82,92,100,100,70,38,80,64,62,100,78,100,55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,67,16,12,40,50,100,100,93,87,100,100,100,100,100,100,100,75,100,100,100,100,100,100,100,100,50,100,67,60,0,0,78,100,0,0,0,0,100,0,0,0,50,0,0,0,44,38,100,0,63,75,100,29,0,100,100,0,100,100,100,100,75,74,75,74,75,70,63,77,73,79,79,89,81,79,70,72,92,NA,NA,NA
Refugees,3,3,0,0,6,5,7,4,10,0,0,2,0,0,0,0,0,0,4,0,6,8,0,9,7,2,0,0,6,0,7,0,0,1,0,0,0,16,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,8,0,0,9,0,40,0,8,0,0,0,0,0,18,25,0,0,29,0,0,0,0,0,0,0,0,100,0,8,0,20,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,3,3,2,6,3,6,1,3,4,2,2,2,0,3,4,3,4,NA,NA,NA
Returnees,55,49,64,0,59,23,31,90,22,78,0,82,100,0,58,0,0,0,38,76,57,31,12,86,17,93,75,96,67,31,53,5,91,67,0,50,13,21,50,0,100,0,100,0,80,73,64,100,100,100,100,0,0,0,0,80,67,86,93,100,100,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,25,62,76,100,54,62,100,100,36,19,0,82,15,0,11,100,12,100,91,100,100,100,86,100,75,75,100,100,25,100,100,0,67,20,12,20,0,0,0,93,93,75,100,83,50,100,100,100,100,100,100,100,100,100,100,100,100,50,50,67,60,100,100,22,0,100,33,100,0,0,33,100,100,50,100,0,100,0,14,0,0,91,70,50,57,0,0,67,0,100,0,100,0,58,48,55,53,57,32,38,57,58,47,100,100,53,66,50,52,74,NA,NA,NA
Economic migrants (those moving in order to find work),27,27,19,0,26,5,13,64,61,24,0,52,0,0,40,0,0,0,17,44,16,12,4,84,5,83,88,36,39,6,7,2,0,3,0,100,67,53,100,100,0,0,100,100,26,27,21,33,0,0,0,0,0,0,0,59,33,29,50,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,45,0,13,23,0,100,12,6,0,36,15,0,11,0,4,33,100,100,100,33,86,100,100,100,67,100,100,50,100,0,33,0,12,20,0,0,0,90,77,88,50,67,100,50,0,0,25,0,0,0,0,0,0,0,33,50,0,67,20,0,100,0,0,100,0,0,0,0,17,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,100,100,0,0,50,100,28,24,28,24,28,14,24,27,29,21,33,42,34,36,19,24,49,NA,NA,NA
Nomads (e.g. Kuchi),3,0,0,0,1,2,4,13,0,0,0,0,0,0,0,0,7,0,0,3,1,5,0,2,0,24,0,16,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,3,0,0,8,0,0,4,0,0,0,15,25,11,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,0,25,33,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,3,4,3,3,3,1,1,4,3,4,3,7,3,7,1,2,11,NA,NA,NA
How many IDP households are living in the settlement?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum,71849,21696,16944,NA,5765,3652,10504,13288,7914,11638,NA,7727,NA,NA,1670,NA,NA,NA,1320,1535,5065,9164,4070,1978,2045,4953,340,5133,1224,1380,145,NA,2101,1985,20,360,454,6410,250,200,100,NA,400,100,8135,1046,1702,165,120,70,300,NA,NA,NA,NA,4936,490,365,1856,80,NA,NA,NA,1670,NA,NA,NA,NA,70,NA,NA,NA,12,NA,NA,NA,NA,645,675,1375,160,3825,1230,10,NA,7129,575,354,600,336,NA,30,140,4070,23,454,81,411,30,110,154,114,81,102,30,101,130,123,NA,34,1810,120,75,40,NA,NA,2965,1988,340,1360,510,220,2158,NA,400,90,65,NA,NA,NA,NA,NA,50,5,100,10,450,600,NA,50,770,NA,300,200,50,60,NA,75,NA,50,20,NA,NA,NA,NA,NA,NA,NA,2101,1837,115,31,2,20,360,NA,100,NA,280,9,48428,22701,55200,16649,68294,3355,11864,59965,52405,19444,28904,17794,20288,20174,31387,37894,33955,82,NA,NA
How many IDP individuals are living in the settlement?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum,447787,130231,93648,NA,34749,22317,64536,102306,50720,59660,NA,43995,NA,NA,11460,NA,NA,NA,3681,10102,30224,60765,24405,14917,15940,39384,2085,39820,8185,4495,1390,NA,12426,11111,90,2440,2390,42780,1250,1700,500,NA,1600,500,40060,6350,9300,990,300,460,1500,NA,NA,NA,NA,28415,2800,1910,10340,530,NA,NA,NA,11460,NA,NA,NA,NA,420,NA,NA,NA,72,NA,NA,NA,NA,2169,1512,8982,1120,23309,6845,70,NA,47020,5315,2070,3010,2310,NA,160,880,24405,321,3351,660,2462,240,790,1160,1100,804,510,230,844,1100,1101,NA,244,14070,1120,450,300,NA,NA,23870,15514,2085,11400,4250,1880,15880,NA,2300,640,470,NA,NA,NA,NA,NA,400,45,700,70,3150,3800,NA,350,2850,NA,500,450,155,540,NA,540,NA,550,300,NA,NA,NA,NA,NA,NA,NA,12426,10417,495,187,12,90,2440,NA,700,NA,2600,70,312373,132074,338228,109559,426397,19390,63972,383715,328432,119355,166246,121952,117750,133774,196263,224817,222970,492,NA,NA
How many PROLONGED IDP households are living in the settlement?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum,103807,20344,29520,75,7093,3878,16720,26177,4249,9708,50,4962,220,25,6040,NA,1490,NA,1173,3762,6168,14347,9479,4025,982,7505,275,13280,1367,1100,306,2096,7914,1654,1200,430,928,2830,127,NA,120,4,200,40,5082,737,2995,160,25,159,250,NA,50,NA,NA,3117,290,570,905,80,220,25,NA,6040,NA,NA,NA,1200,60,180,NA,40,NA,10,NA,NA,NA,613,560,3642,120,4665,1443,40,20,7158,2298,727,755,1494,850,715,350,9479,70,734,140,558,290,298,295,514,140,29,43,230,95,380,NA,209,260,202,170,NA,150,200,5355,2150,275,2480,1030,560,6130,50,1340,110,310,100,500,50,150,NA,70,320,80,40,300,600,NA,20,855,NA,80,140,25,NA,NA,77,150,NA,22,5,12,40,1570,376,NA,150,7914,1491,90,70,3,1200,420,10,300,NA,400,7,75872,25005,77058,26749,99382,3725,11730,90977,75761,28046,38557,28874,20697,29267,53843,55311,48496,NA,NA,NA
How many PROLONGED IDP individuals are living in the settlement?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum,681098,126809,179992,620,43910,26292,110827,192648,27175,54294,400,31155,1540,220,37665,NA,8950,NA,3710,25578,37270,99617,59436,32458,7372,53230,2280,97350,9610,6470,3500,12201,50254,9043,7500,2820,6320,17675,1230,NA,700,50,1000,200,29029,3340,16380,950,150,945,1500,NA,400,NA,NA,19125,1830,3440,6330,430,1540,220,NA,37665,NA,NA,NA,7200,360,1080,NA,240,NA,70,NA,NA,NA,2450,1260,24738,840,27950,8960,240,120,46608,18830,5301,4963,10925,5950,4790,2250,59436,870,5291,1250,4098,1950,2536,2420,4440,1400,197,337,1780,780,3660,NA,1449,2070,1522,1330,NA,1050,1400,37580,15650,2280,17420,7060,5020,46790,1050,9030,750,2180,600,3500,350,1100,NA,500,2280,650,280,2100,4100,NA,140,5155,NA,220,1010,85,NA,NA,790,2000,NA,250,60,100,300,8513,3188,NA,500,50254,8155,470,400,18,7500,2750,70,2000,NA,2000,60,500854,161244,505469,175629,650553,25545,76329,596769,492396,188702,243227,202071,131791,198046,351261,369143,311955,NA,NA,NA
How many PROTRACTED IDP households are living in the settlement?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum,176503,19850,49506,23483,14075,10228,16681,42680,7150,27455,1360,6256,NA,220,8730,2232,5012,19671,1222,4350,12740,14549,4745,5503,3963,10262,1115,25575,1340,1208,45,2302,6669,1699,910,220,3735,2949,16,200,NA,NA,200,50,11605,995,14200,160,30,115,150,1044,141,55,120,3466,285,1100,1370,35,NA,100,120,8730,2115,40,77,NA,NA,4892,100,NA,NA,20,687,16370,1614,792,430,4220,130,9727,2933,70,10,7561,1920,970,530,968,1100,1130,370,4745,190,792,230,1505,290,116,530,460,250,123,55,310,220,310,2,120,2133,80,500,350,300,600,7067,3195,1115,3560,2125,4220,10050,250,2600,120,700,200,600,250,200,100,200,200,100,150,200,680,NA,NA,1205,3,NA,NA,NA,NA,5,NA,NA,NA,40,NA,NA,NA,1307,675,320,NA,6669,1399,100,200,NA,910,220,NA,200,1000,400,10,114086,59527,128803,47700,156949,18654,12215,163888,100692,75811,48705,50862,46461,47993,82049,72288,104215,NA,NA,NA
"How many PROTRACTED IDP individuals are living in the settlement?

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum,1148135,123149,278543,152377,93844,57655,111808,330759,45643,132905,8395,37425,NA,1210,55480,14070,24102,128702,4895,28870,84669,99943,30430,45443,25478,84486,7675,191420,9410,7565,510,15621,45667,9651,6970,1500,21690,21200,53,1700,NA,NA,800,200,57275,4760,67320,1060,150,840,600,5995,1000,600,800,20055,1540,6520,9095,215,NA,560,650,55480,13090,350,630,NA,NA,23352,600,NA,NA,150,4487,108535,7680,3995,900,27970,900,65969,18130,500,70,50148,13550,6565,4315,7275,7700,7950,2440,30430,2680,6108,2060,11020,2580,952,4240,3450,2690,774,435,2610,2160,2920,14,750,12798,480,3800,2100,2100,4200,61221,23265,7675,28690,20700,30440,74150,1800,17700,940,5050,700,3650,1800,1400,700,1700,1500,700,1050,1400,4660,NA,NA,7530,35,NA,NA,NA,NA,60,NA,NA,NA,450,NA,NA,NA,7495,6456,1670,NA,45667,8061,500,1090,NA,6970,1500,NA,900,8000,2000,100,742916,388629,829511,318624,1013790,128345,78277,1067858,642485,505650,302895,347884,279330,334302,534503,481030,667105,NA,NA,NA
How many of these IDP households (regardless of displacement length) arrived in the last 3 months?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum,16575,3070,6735,NA,1496,639,2104,2531,578,3876,NA,1716,NA,NA,704,NA,NA,NA,707,884,1234,1395,396,184,247,1160,62,697,490,354,14,NA,1271,380,2,200,150,245,63,45,0,NA,70,5,2568,270,592,110,16,20,100,NA,NA,NA,NA,1127,102,70,367,50,NA,NA,NA,704,NA,NA,NA,NA,20,NA,NA,NA,4,NA,NA,NA,NA,377,330,724,160,1126,106,2,NA,1037,81,38,176,18,NA,10,35,396,0,52,19,0,1,8,24,20,20,0,14,25,0,1,NA,0,165,22,50,10,NA,NA,859,301,62,105,8,77,329,NA,100,3,50,NA,NA,NA,NA,NA,7,0,10,0,320,150,NA,10,268,NA,30,20,16,20,NA,7,NA,5,2,NA,NA,NA,NA,NA,NA,NA,1271,319,50,11,0,2,200,NA,200,NA,18,0,10775,5513,13485,3090,15915,652,2309,14259,11827,4748,9547,3333,4848,3478,8249,10291,6284,24,NA,NA
