data,overall,north_east,north,west,capital,south_east,south,east,badakhshan,balkh.x,badghis,baghlan,bamyan.x,farah,faryab,ghor,ghazni.x,herat,helmand,jawzjan,kabul.x,kandahar.x,kunduz.x,kunar,khost,laghman,logar,nangarhar,nuristan,paktya,paktika,samangan,sar_e_pul.x,takhar,uruzgan,maidan_wardak,faiz_abad_badakhshan,baharak_badakhshan,yaftal_e_sufla,yawan,argo,kohestan_badakhshan,keshem,jorm,nahr_e_shahi,mazar_e_sharif,dehdadi,sholgareh,zari,balkh.y,chemtal,dawlatabad_balkh,qala_e_naw,muqur_badghis,jawand,ab_kamari,pul_e_khumri,doshi,burka,baghlan_e_jadid,nahrin,bamyan.y,bala_buluk,qala_e_kah,maymana,feroz_koh,dawlatyar,shahrak,deh_yak,andar,ghazni.y,muqur_ghazni,giro,qarabagh,waghaz,hirat,injil,guzara,karukh,lashkargah,nahr_e_saraj,sheberghan,aqcha,kabul.y,bagrami,deh_sabz,paghman,kandahar.y,daman,maywand,arghandab,zheray,dand,panjwayi,spin_boldak,kunduz.y,chawkay,asad_abad,watapur,shigal,bar_kunar,dara_e_pech,sar_kani,khas_kunar,marawara,narang,nurgal,chapa_dara,Dara-e-pech,ghazi_abad,nari,dangam,matun,mandozayi,gurbuz,tani,terezayi,qalandar,mehtarlam,qarghayi,pul_e_alam,surkh_rod,rodat,behsud,jalalabad,muhmand_dara,bati_kot,chaparhar,khogyani,pachir_wa_agam,achin,nazyan,dur_baba,deh_bala,kama,shinwar,wama,barg_e_matal,waygal,parun,kamdesh,mandol,duab,nurgaram,gardez,shawak,sayed_karam,samkani,ahmadaba,dand_wa_patan,ziruk,sharan,mata_khan,urgun,barmal,surobi_paktika,zarghun_shahr,yosuf_khel,aybak,hazrat_e_sultan,dara_e_suf_e_bala,dara_e_suf_e_payin,sar_e_pul.y,taloqan,yangi_qala,bangi,baharak,tirinkot,maydan_shahr,nerkh,secure_tenure,insecure_tenure,service_inaccess,service_access,adequate_shelter,inadequate_shelter,less_5years,over_5years,mixed_popn,seperate_popn,recent_return,no_recent_return,suburb_location,rural_location,urban_location,small_site,large_site
80+,0.2,0,0.3,0,1.67,0,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0.09,0.49,0.22,0,0.53,0.16,0.31,0,0.84,0,0.62,0,0.14,0.16,0.4
ki_gender_age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
male_40_49,34.33,31.06,32.54,47.06,40,27.08,37.8,34.56,28.57,30.21,45.45,27.72,100,33.33,38.1,36.36,26.67,53.85,42.59,31.11,40.95,35.87,33.75,37.35,26.09,32.95,40,34.33,31.82,45,6.67,48.21,20,34.29,50,0,33.33,30,50,0,0,0,0,0,34.48,15.38,21.43,33.33,100,33.33,0,33.33,33.33,66.67,100,0,27.27,33.33,42.86,20,50,100,50,0,38.1,33.33,0,100,0,50,25,0,0,100,0,25,73.33,25,33.33,28.12,63.64,31.82,0,34.57,66.67,50,0,31.19,37.5,40,53.85,44.44,50,45.45,0,33.75,0,31.58,25,33.33,100,57.14,0,80,0,33.33,0,40,75,40,0,0,18.52,50,14.29,50,100,0,31.91,34.15,40,33.33,50,30.77,66.67,33.33,0,14.29,50,25,50,0,25,100,0,0,33.33,50,0,66.67,0,100,66.67,0,46.15,0,100,66.67,0,0,0,0,0,0,0,0,0,100,46.88,47.62,50,100,20,33.33,50,42.86,0,50,0,0,32.95,36.98,36.1,29.73,33.38,45.95,35.29,34.19,31.98,39.09,28.01,35.4,34.37,37.26,32.65,34.81,32.27
male_50_59,25.07,20.82,24.48,17.65,20.83,11.46,27.24,34.56,26.19,23.96,27.27,29.7,0,0,20.63,9.09,20,19.23,31.48,33.33,21.9,27.17,6.25,28.92,8.7,39.77,20,30.6,59.09,20,0,14.29,30.67,21.43,0,0,13.33,30,0,100,0,0,100,100,20.69,23.08,21.43,33.33,0,33.33,100,66.67,33.33,33.33,0,0,34.85,33.33,28.57,10,50,0,0,0,20.63,11.11,0,0,100,0,12.5,100,0,0,0,25,13.33,25,33.33,28.12,36.36,31.82,100,24.69,9.52,0,100,28.44,18.75,10,38.46,22.22,25,45.45,0,6.25,100,31.58,50,0,0,28.57,75,20,50,16.67,0,40,0,20,33.33,0,11.11,0,14.29,0,0,0,44.68,34.15,20,26.67,42.86,33.33,0,33.33,0,50,0,25,25,0,50,0,0,50,33.33,50,100,33.33,100,0,33.33,0,23.08,0,0,33.33,0,0,0,0,0,0,0,0,0,0,6.25,23.81,50,0,30.67,21.67,50,14.29,0,0,0,0,24.15,26.84,24.41,26.78,25.64,18.02,27.27,24.75,24.03,27.16,29.97,28.54,22.91,29.09,23.73,23.79,31.47
male_30_39,21.8,29.01,21.79,25.49,14.17,32.29,18.7,16.82,26.19,19.79,27.27,23.76,0,33.33,23.81,36.36,20,19.23,14.81,11.11,14.29,19.02,41.25,21.69,36.96,13.64,0,17.91,4.55,30,33.33,26.79,25.33,24.29,37.5,50,26.67,20,50,0,100,100,0,0,24.14,15.38,7.14,33.33,0,33.33,0,0,33.33,0,0,100,24.24,16.67,0,35,0,0,50,0,23.81,44.44,0,0,0,0,12.5,0,100,0,100,25,6.67,50,33.33,25,0,11.36,0,13.58,14.29,50,0,20.18,31.25,0,0,16.67,25,9.09,100,41.25,0,26.32,0,50,0,14.29,25,0,25,33.33,50,0,25,20,66.67,0,40.74,25,28.57,50,0,100,10.64,17.07,0,23.33,0,10.26,16.67,16.67,100,21.43,16.67,25,25,100,25,0,100,50,33.33,0,0,0,0,0,0,0,30.77,0,0,0,100,100,0,33.33,0,50,50,100,0,0,31.25,23.81,0,0,25.33,25,0,28.57,0,37.5,66.67,0,23.01,19.48,21.77,21.87,22.11,18.02,24.06,21.47,23.73,17.9,22.69,19.25,22.6,19.47,22.77,22.63,17.93
male_60_69,8.51,7.51,9.55,0,13.33,4.17,8.54,9.17,9.52,14.58,0,7.92,0,0,3.17,0,6.67,0,1.85,13.33,12.38,10.87,7.5,4.82,4.35,10.23,30,11.94,4.55,5,0,1.79,12,5.71,0,0,6.67,15,0,0,0,0,0,0,8.62,38.46,28.57,0,0,0,0,0,0,0,0,0,6.06,16.67,28.57,5,0,0,0,0,3.17,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,3.12,0,13.64,0,16.05,0,0,0,10.09,12.5,50,0,11.11,0,0,0,7.5,0,5.26,25,0,0,0,0,0,0,0,50,20,0,0,0,0,3.7,12.5,0,0,0,0,10.64,9.76,30,16.67,0,17.95,16.67,16.67,0,7.14,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,3.12,0,0,0,12,5,0,14.29,0,0,0,0,9.33,6.96,8.48,8.6,8.7,6.31,3.21,9.29,8.76,8.02,9.8,8.85,9.29,6.49,9.33,7.74,11.95
male_18_29,7.83,9.56,6.57,9.8,5.83,21.88,6.91,4.59,7.14,6.25,0,8.91,0,33.33,6.35,18.18,26.67,7.69,9.26,6.67,3.81,5.98,10,7.23,19.57,3.41,10,4.48,0,0,53.33,5.36,8,11.43,12.5,50,13.33,5,0,0,0,0,0,0,5.17,7.69,14.29,0,0,0,0,0,0,0,0,0,6.06,0,0,25,0,0,0,100,6.35,11.11,100,0,0,50,37.5,0,0,0,0,25,6.67,0,0,15.62,0,6.82,0,4.94,0,0,0,8.26,0,0,7.69,5.56,0,0,0,10,0,5.26,0,16.67,0,0,0,0,25,16.67,0,0,0,20,0,100,18.52,12.5,42.86,0,0,0,2.13,4.88,10,0,7.14,5.13,0,0,0,7.14,16.67,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,100,50,50,0,100,0,6.25,4.76,0,0,8,11.67,0,0,100,12.5,33.33,100,8.39,6.76,7.16,9.58,7.89,7.21,8.02,7.81,8.76,5.97,6.72,6.42,7.12,6.73,8.78,8.56,4.38
male_70_79,1.57,1.71,3.88,0,0.83,2.08,0.41,0.31,2.38,4.17,0,1.98,0,0,4.76,0,0,0,0,4.44,0.95,0.54,1.25,0,2.17,0,0,0.75,0,0,6.67,3.57,2.67,1.43,0,0,6.67,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,5,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,4.76,0,0,0.92,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,6.25,0,0,0,2.67,1.67,0,0,0,0,0,0,1.45,1.79,1.6,1.47,1.62,0.9,0,1.8,1.83,1.03,1.4,1.11,3.1,0.72,1.37,1.65,1.2
female_30_39,0.27,0,0.3,0,2.5,0,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.4,0.09,0.74,0.15,1.8,0.53,0.23,0.31,0.21,0.28,0.22,0,0,0.55,0.33,0
female_50_59,0.2,0,0,0,0.83,1.04,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0.54,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.09,0.49,0.07,1.8,0.53,0.16,0.1,0.41,0,0,0,0,0.41,0.08,0.4
male_80_over,0.2,0,0.3,0,1.67,0,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0.09,0.49,0.22,0,0.53,0.16,0.31,0,0.84,0,0.62,0,0.14,0.16,0.4
female_40_49,0.14,0,0.6,0,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0,0,0,0,0.21,0,0.09,0.25,0.15,0,0.53,0.08,0.1,0.21,0.28,0,0,0,0.27,0.16,0
female_18_29,0.07,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0.2,0.09,0,0.07,0,0,0.08,0.1,0,0,0.22,0,0.24,0,0.08,0
