type,name,label,label::Dari,label::pash,hint::English,hint::Dari,hint::pash,required,relevant,read_only,appearance,constraint,constraint_message::English,constraint_message::Dari,constraint_message::pash,calculation,choice_filter,repeat_count
text,iset_code,What is this settlement's ISET code provided on the KI information form?,"?? ??? ???? ??? ???? ????? ? ??? ??????? ????? ????? ????? ????",??? ??? ???? ???????? ??? ???? ??? ?? ???? ?? ?? ???? ?? ??? ????,"An ISET code is a set of three letters, followed by three numbers. For example AAA_000

Enter before you call the KI, using the KI information forms provided","?? ???? ??? ???? ????? ???? ???? ? ?? ??? ??? ?? ??? ???? AAA_000 ?? ?? ???? ??????? ????? ???
??? ??????? ?? ??? ?? ???? ?? ??? ?????/???? ????? ? ?? ??????? ?? ???????/???? ????? ???? ???? ????
","? ??? ???? ???????? ??? ?? ? ????? ?? ? ?????? ??? ????? ??? ? ????? ?? ??? AAA_000
?? ???? ???? ??? ??? ?? ????? ???/???? ???????? ?? ??? ???? ?? ???? ??? ?? ??????? ??? ??? ??? 
",TRUE,,,,,,,,,,
select_one location,location,Where is this settlement located?,??? ???? ??? ???? ?? ??? ??????? ?????,?? ??? ???? ???????? ??? ?? ??????? ????,"Enter before you call the KI, using the KI information forms provided","??? ??????? ?? ??? ?? ???? ?? ??? ?????/???? ????? ? ?? ??????? ?? ???????/???? ????? ???? ???? ????",?? ???? ???? ??? ??? ?? ????? ???/???? ???????? ?? ??? ???? ?? ???? ??? ?? ??????? ??? ??? ???,TRUE,,,,,,,,,,
note,intro,"My name is [[name]] and I work for ACTED. On behalf of OFDA, we are conducting an assessment of informal settlements across Afghanistan so that the humanitarian community can better understand these settlements, their service access, and each community's needs, especially in relation to the covid-19 emergency. The questions are specifically about settlement demographics, key infrastructure available, the quality of these infrastructure, and how access and quality of infrastructure has changed in the last 30 days. Any information that you provide will be confidential. This is voluntary and you can choose not to answer any or all of the questions; however we hope that you will participate since your views about and knowledge of your community are important. Participation in the survey does not have any impact on whether you or your settlement receive assistance. Do you have any questions? ","??? ?? (? ??? )???? ? ?? ???? ACTED ??? ?????. ?? ???????? ?? OFDA. ?? ??????? ????? ??? ???? ?? ?? ????? ????????? ????? ?????? ???? ??? ???? ????? ???? ?? ??? ??? ?? ????: ?????? ?? ????? ? ???? ??? ?????. ????? ?? ?????? ?? ????? ????? ??? ??????? ????? ????? ??. ?????? ?? ?? ??? ??? ?? ???? ????? ??? ?????? ??????? ??? ????? ????? ???? ?????? ????? ? ????? ?????? ?? ?? ?? 30 ??? ????? ???. ?? ??????? ?? ??? ????? ?????? ????? ???? ???? ??????. ??? ????? ??????? ? ????????? ???? ? ??? ????????? ?? ??? ???? ?????? ?????? ???????? ?? ?? ?? ??? ?????? ???? ?????. ??? ???? ????? ?? ?? ??? ???? ?????? ?????? ??? ??? ? ???? ??? ?? ???? ????? ??? ???? ?? ??? ? ??????? ???. ???? ?? ??? ???? ??? ?????? ????? ?????? ??? ?? ??? ?? ???? ??? ?????? ????. 
??? ???? ????? ??????","??? ??? (   ) ?? ?? ?? ?? ????? (ACTED) ???? ?? ??? ???. ? ????? ?? ?????????? ???? ?? ??? ????????? ??  ? ??? ???? ???????????? ??? ?????? ????? ??? ?? ?? ???? ????? ?????? ?? ?? ??? ?????????? ??????? ?? ? ??????? ?? ? ??? ????? ??????? ?? ?? ?????? ??? ? ???? 19 ????? ???? ?? ??? ?? ??? ??. ?????? ?? ?????? ??? ? ????????? ? ???? ?? ??? ??? ? ??? ???? ????????? ? ?? ???????? ?????? ?? ???? ?????? ?? ????? ? ???????? ?? ???? 30 ???? ?? ???? ???. ??? ??? ??????? ?? ???? ?? ???? ?? ?? ??? ???? ??? ?? ???? ??.
 ?? ????  ????????? ?? ?? ???? ???? ?? ??? ??? ?? ???? ?????? ?? ???? ??? ????? ?? ?????? ??? ???? ??? ?? ???? ?? ??? ?? ???? ???? ??? ?? ????? ? ????? ?? ??? ????? ???? ?? ?????? ??? ??. ?? ???? ?? ???? ?????? ??? ???? ??? ?? ???? ?? ?? ?? ????? ???????? (???) ????? ?????? ???.  ??? ???? ???? ?????? ????",,,,FALSE,,yes,,,,,,,,
select_one yesno,consent,Do you consent to participate in this survey?,??? ???????? ???? ???? ?????? ?????,??? ???? ????? ??? ???? ?? ???? ????? ,,,,TRUE,,,,,,,,,,
begin group,ki_info,Key Informant Information,??????? ??? ?????,? ????? ??? ???????,,,,,"(selected(${consent},'yes'))",,,,,,,,,
select_one gender,ki_gender,What is the gender of the KI?,????? ??? ????? ?? ???????,? ????? ??? ????? ?? ?? ???,,,,TRUE,,,,,,,,,,
select_one agerange,ki_age,How old are you?,??? ??? ??????,???? ?? ??? ?????,"Read options, select one",????? ?? ?? ??????? ? ???? ?????? ?? ?????? ???? ?????? ????,??? ??????? ????? ?? ??? ??????? ??? ?? ??? ???,TRUE,,,,,,,,,,
end group,,,,,,,,,,,,,,,,,,
begin group,popn_types,Population Types,????? ????,? ???? ??????,,,,,"(selected(${consent},'yes'))",,,,,,,,,
note,popn_note,First I will ask about the population groups living in this settlement. Please do your best to estimate their size. ,"?? ??? ?? ?? ???? ???? ??? ???? ?????? ??? ?? ???? ???? ??? ???? ????? ??????  ??? ????? ??? ?? ??????? ?? ????? ???? ?? ??????","?? ??? ?? ?? ?? ????? ?? ? ??? ??? ?? ??? ?????? ???? ?? ??? ??? ???? ???????? ?? ???? ???? ?? ??????? ??? ? ??? ????? ???? ?? ?? ???????",,,,FALSE,,yes,,,,,,,,
select_one population,iset_population,"Is the population living in the settlement made up of only migrants (e.g. IDPs, returnees, refugees, etc), or is it sharing the same space with the host community? ","??? ???? ??? ???? ??? ???? ???? ????? ??????? ???(???? ??????? ??? ?????? ???? ????? ???? ??????? ? ????) ??? ? ?? ?? ?? ???? ?????? ?? ?? (?? ?? ???? ?????) ????? ???????","??? ??? ??? ???? ???????? ? ??? ????? ?????? ??? ??? ?? (? ????? ?? ??? ????? ?????? ???? ?? ????? ???? ??????? ?? ????) ?? ?? ? ????? ????? ??? ????? ???? ???",,,,TRUE,,,,,,,,,,
select_multiple migrant,migrant_population,Which migrant populations are living in this site? ,???? ??? ????? ??????? ???? ????? ????? ???????,??? ??? ????? (?????? ???) ???? ??? ??? ?? ????? ????,"Read options, select all that apply",????? ?? ?? ??????? ? ???? ?????? ?? ?????? ???? ?????? ????,"??????? ?????? ??? ??? ?????? ??? ?? ???? ????",TRUE,,,,,,,,,,
integer,idp_hhs,How many IDP households are living in the settlement?,?? ?? ????? ????? ??? ????? ??? ????? ???? ????? ????? ???????,? ????? ?????? ??? ???? ????? ????? ??? ???????? (???) (???) ?? ????? ????,"For this assessment, an IDP is an Afghan National who has been forced to leave their homes in the last 6 months. ",???? ??????? ????? ??? ????? ?? ???? ???? ????? ?? ?????? ????? ????? ? ??? ?? ??????? ???? ??? ?? ?? 6 ??? ???? ??? ????,"??? ?????? ?????? ?? ????? ?????? ??? ???? ?? ????? ???? ?? ??? ?? ?? ???? ??? ? ???? ?????? ???????? ?? ?? ??????? 6 ?????? ?? ?? ??? ?? ",TRUE,"selected(${migrant_population}, 'idp')",,,,,,,,,
calculate,idp_hhs_coalesce,,,,,,,,,,,,,,,"coalesce(${idp_hhs},0)",,
integer,idp_indvl,How many IDP individuals are living in the settlement?,?? ?? ????? ????? ????? ??? ????? ???? ??? ????? ???????,????? ????? ?????? ??? ????? ??? ???????? ?? ???? ????,"For this assessment, an IDP is an Afghan National who has been forced to leave their homes in the last 6 months. ",???? ??????? ????? ??? ????? ?? ???? ???? ????? ?? ?????? ????? ????? ? ??? ?? ??????? ???? ??? ?? ?? 6 ??? ???? ??? ????,"??? ?????? ?????? ?? ????? ?????? ??? ???? ?? ????? ???? ?? ??? ?? ?? ???? ??? ? ???? ?????? ???????? ?? ?? ??????? 6 ?????? ?? ?? ??? ?? ",TRUE,"selected(${migrant_population}, 'idp')",,,.>=${idp_hhs},IDP individuals must be equal to or larger than the number of IDP households reported,???? ????? ??????? ??? ????? ? ??? ???? ???? ????? ?? ????? ??????? ??? ????????? ????? ?? ??? ???? ????,? ???????? ? ?????? ????? ?????? ??? ?????? ???? ???? ? ??????? ? ?????? ????? ?????? ??? ?????? ?? ???? ??? ???? ??,,,
calculate,idp_indvl_coalesce,,,,,,,,,,,,,,,"coalesce(${idp_indvl},0)",,
integer,prolonged_hhs,How many PROLONGED IDP households are living in the settlement?,????? ??????? ??? ??????? ??? ????? ???? ??? ??? ???? (??????? ??? ????? ?? ????? ?? 6 ??? ? ???? ?? 2 ??? ????? ?? ???? ??? ????? ?????),??? ??? ?? ?? ???? ????? ????? ?????? ??? ????? ???? ???? (??? ????? ?????? ??? ????? ?? ? ???? ?? ?? 6 ?????? ???? ?? ?? 2 ????? ?? ??? ????),"For this assessment, a prolonged IDP is an Afghan National who was forced to leave their homes between 6 months and 2 years ago.",???? ??????? ????? ??????? ??? ????? ???? ??? ?? ????? ???? ????? ?? ?????? ????????? ????? ???? ? ??? ?? ??????? ?? ???? ????? ?? 6 ??? ? ???? ?? 2 ??? ??????? ????,??? ?????? ?? ????????? ????? ?????? ??? ??? ??? ???? ??? ???? ?? ? ????????? ?????? ???? ?? ?? ???? ??? ?? 6 ?????? ???? ?? ?? 2 ????? ?? ?? ??? ?? ? ?????? ?????? ???????? ?? ?? ??? ?? ,TRUE,"selected(${migrant_population}, 'prolong')",,,,,,,,,
calculate,prolonged_hhs_coalesce,,,,,,,,,,,,,,,"coalesce(${prolonged_hhs},0)",,
integer,prolonged_indvl,How many PROLONGED IDP individuals are living in the settlement?,????? ????? ??????? ??? ????? ???? ??? ??? ???? (??????? ??? ????? ?? ????? ?? 6 ??? ? ???? ?? 2 ??? ????? ?? ???? ??? ????? ?????),??? ??? ?? ?? ??? ???? ????? ????? ?????? ??? ??? (???) ???? ???? (??? ????? ?????? ??? ??? ?? ? ???? ?? ?? 6 ?????? ???? ?? ?? 2 ????? ?? ??? ????),"For this assessment, a prolonged IDP is an Afghan National who was forced to leave their homes between 6 months and 2 years ago.",???? ??????? ????? ??????? ??? ????? ???? ??? ?? ????? ???? ????? ?? ?????? ????????? ????? ???? ? ??? ?? ??????? ?? ???? ????? ?? 6 ??? ? ???? ?? 2 ??? ??????? ????,??? ?????? ?? ????????? ????? ?????? ??? ??? ??? ???? ??? ???? ?? ? ????????? ?????? ???? ?? ?? ???? ??? ?? 6 ?????? ???? ?? ?? 2 ????? ?? ?? ??? ?? ? ?????? ?????? ???????? ?? ?? ??? ?? ,TRUE,"selected(${migrant_population}, 'prolong')",,,.>=${prolonged_hhs},Prolonged IDP individuals must be equal to or larger than the number of prolonged IDP households reported,???? ????? ??????? ??? ????? ???? ???  ???? ????? ?? ????? ??????? ??? ????????? ????? ???? ??? ????,? ???? ????? ????? ?????? ??? ?????? ???? ???? ? ???? ????? ????? ?????? ??? ?????? ?? ???? ??? ???? ??,,,
calculate,prolonged_indvl_coalesce,,,,,,,,,,,,,,,"coalesce(${prolonged_indvl},0)",,
integer,protracted_hhs,How many PROTRACTED IDP households are living in the settlement?,????? ??????? ??? ??????? ??? ????? ???? ??? ??? ???? (??????? ??? ????? ?? ????? ?? 2 ??? ????? ?? ???? ??? ????? ?????),??? ??? ?? ?? ??? ???? ????? ????? ?????? ??? ????? ???? ???? (??? ????? ?????? ??? ??? ?? ? ???? ?? ?? 2 ????? ???? ??? ????),"For this assessment, a protracted IDP is an Afghan National who was forced to leave their homes a minimum of 2 years ago, and have since restablished their lives in new locations. They are now considered part of the host community.",???? ??????? ????? ??????? ??? ????? ???? ??? ?? ????? ???? ????? ?? ?????? ????????? ????? ???? ? ??? ?? ??????? ?? ???? ????? ?? 2 ??? ??????? ????,??? ?????? ?? ??? ????????? ????? ?????? ??? ??? ??? ???? ??? ???? ?? ? ????????? ?????? ???? ?? ?? ???? ??? ?? 2 ????? ?? ???? ??? ?? ? ?????? ?????? ???????? ?? ?? ??? ?? ,TRUE,"selected(${migrant_population}, 'protract')",,,,,,,,,
calculate,protracted_hhs_coalesce,,,,,,,,,,,,,,,"coalesce(${protracted_hhs},0)",,
integer,protracted_indvl,"How many PROTRACTED IDP individuals are living in the settlement?

",????? ????? ??????? ??? ????? ???? ??? ??? ???? (??????? ??? ????? ?? ????? ?? 2 ??? ????? ?? ???? ??? ????? ?????),??? ??? ?? ?? ??? ??? ???? ????? ????? ?????? ??? ??? (???) ???? ???? (??? ????? ?????? ??? ??? ?? ? ???? ?? ?? 2 ????? ???? ??? ????),"For this assessment, a protracted IDP is an Afghan National who was forced to leave their homes a minimum of 2 years ago, and have since restablished their lives in new locations. They are now considered part of the host community.",???? ??????? ????? ??????? ??? ????? ???? ??? ?? ????? ???? ????? ?? ?????? ????????? ????? ???? ? ??? ?? ??????? ?? ???? ????? ?? 2 ??? ??????? ????,??? ?????? ?? ??? ????????? ????? ?????? ??? ??? ??? ???? ??? ???? ?? ? ????????? ?????? ???? ?? ?? ???? ??? ?? 2 ????? ?? ???? ??? ?? ? ?????? ?????? ???????? ?? ?? ??? ?? ,TRUE,"selected(${migrant_population}, 'protract')",,,.>=${protracted_hhs},Protracted IDP individuals must be equal to or larger than the number of Protracted IDP households reported,???? ????? ??????? ??? ????? ???? ????? ???? ????? ?? ????? ??????? ??? ????????? ????? ???? ????? ????,? ??? ???? ????? ????? ?????? ??? ?????? ???? ???? ? ??? ???? ????? ????? ?????? ??? ?????? ?? ???? ??? ???? ??,,,
calculate,protracted_indvl_coalesce,,,,,,,,,,,,,,,"coalesce(${protracted_indvl},0)",,
calculate,idp_total_indvl,,,,,,,,,,,,,,,${idp_indvl_coalesce}+${prolonged_indvl_coalesce}+${protracted_indvl_coalesce},,
calculate,idp_total_hhs,,,,,,,,,,,,,,,${idp_hhs_coalesce}+${prolonged_hhs_coalesce}+${protracted_hhs_coalesce},,
integer,idp_3mo_hhs,How many of these IDP households (regardless of displacement length) arrived in the last 3 months?,??? ??????? ??????? ??? ????? (???? ?? ??? ????? ??? ??????? ??) ?? 3 ??? ???? ?? ??? ???/???? ??? ???? ???? ????,?? ??? ????? ?????? ??? ????? ?? ???? ???? ?????? ?? ??? ??? ?? ????? ???,,,,TRUE,${idp_indvl}>0 ,,,. <= ${idp_total_hhs},"Must be less than the number of IDP households reported living in the settlement (recent, prolonged and protracted)","???? ???? ?? ????? ???? ??????? ??? ????? ???? (????????? ?? ??? ????? ????????? ??? ? ??? ??? ? ??? ? ????????? ????? ?? ? ???)","???? ? ???? ????? ?????? ??? ? ?????? ?? ????? ??? ?? ?? ( ? ??????? ? ?????? ????? ?????? ???? ???? ????? ????? ?????? ??? ?? ??? ???? ????? ????? ?????? ???)",,,
select_one province_list,idp_prov_origin,From which province have most IDPs in this settlement come in the last 3 months?,?? 3 ??? ????? ?? ???? ????? ??????? ????? ????? ??? ????? ???? ??? ???? ????,? ??? ????? ??? ?????? ????? ?????? ??? ???? ?? ???? 3 ?????? ?? ?? ???????? (???) ?? ????? ??? ,,,,TRUE,${idp_3mo_hhs}>0 ,,,,,,,,,
select_one district_list,idp_dist_origin,From which district have most IDPs in this settlement come in the last 3 months?,?? 3 ??? ????? ?? ???? ??????? ??????? ????? ????? ??? ????? ???? ??? ???? ????,? ???? ??????? ??? ?????? ????? ?????? ??? ???? ?? ???? 3 ?????? ?? ?? ???????? (???) ?? ????? ??? ,,,,TRUE,${idp_3mo_hhs}>0 ,,,,,,,,province=${idp_prov_origin},
integer,refugee_hhs,How many refugee households are living in the settlement?,?? ?? ????? ??????? ??? ????? ???? ??? ????? ???????,? ???????? ????? ????? ??? ???????? (???) ?? ????? ????,"For this assessment, a refugee is a national of another country who has been displaced and are now residing in Afghanistan.",???? ??????? ????? ?? ???? ???? ????? ?? ?????? ???? ????? ?? ????? ? ????? ??? ???? ????? ?? ????????? ????? ???,"??? ?????? ?????? ?? ????? ??? ????? ???? ?? ??? ?? ?????? ??? ?? ??? ?? ????????? ?? ????? ???.",TRUE,"selected(${migrant_population}, 'refugee')",,,,,,,,,
calculate,refugee_hhs_coalesce,,,,,,,,,,,,,,,"coalesce(${refugee_hhs},0)",,
integer,refugee_indvl,How many refugee individuals are living in the settlement?,?? ?? ????? ????? ????? ???? ??? ????? ?????? ?,????? ??????? ???? (???) ??? ???????? (???) ?? ????? ????,"For this assessment, a refugee is a national of another country who has been displaced and are now residing in Afghanistan.",???? ??????? ????? ?? ???? ???? ????? ?? ?????? ???? ????? ?? ????? ? ????? ??? ???? ????? ?? ????????? ????? ???,"??? ?????? ?????? ?? ????? ??? ????? ???? ?? ??? ?? ?????? ??? ?? ??? ?? ????????? ?? ????? ???.",TRUE,"selected(${migrant_population}, 'refugee')",,,.>=${refugee_hhs},Refugee individuals must be equal to or larger than the number of Refugee households reported,???? ????? ??????? ???? ????? ?? ????? ??????? ??? ??????? ????,????????? ? ?????? ???? ???? ? ???????? ? ?????? ?? ???? ??? ???? ??,,,
calculate,refugee_indvl_coalesce,,,,,,,,,,,,,,,"coalesce(${refugee_indvl},0)",,
integer,returnee_hhs,How many returnee households are living in the settlement?,?? ?? ????? ??????? ??? ???? ????? ???? ??? ????? ???????,????? ??????? ??? ?????? ????? ?? ?? ???????? (???) ?? ???? ????,"For this assessment, a returnee is an Afghan National that has returned to Afghanistan after living other countries.",???? ??????? ???? ????? ?? ???? ???? ????? ?? ?????? ????????? ????? ???? ? ??? ?? ????? ???? ?? ?? ????? ????? ?? ????????? ??? ??? ???? ????,"??? ?????? ?????? ?? ?????? ??? ????? ?? ????? ???? ?? ??? ?? ?? ?? ????? ?? ?? ??????? ?????? ????????? ?? ?????? ??? ??.",TRUE,"selected(${migrant_population}, 'returnee')",,,,,,,,,
calculate,returnee_hhs_coalesce,,,,,,,,,,,,,,,"coalesce(${returnee_hhs},0)",,
integer,returnee_indvl,How many returnee individuals are living in the settlement?,?? ?? ????? ????? ???? ????? ???? ??? ????? ???????,????? ??????? ??? ???? (???) ??? ???????? (???) ?? ????? ????,"For this assessment, a returnee is an Afghan National that has returned to Afghanistan after living other countries.",???? ??????? ???? ????? ?? ???? ???? ????? ?? ?????? ????????? ????? ???? ? ??? ?? ????? ???? ?? ?? ????? ????? ?? ????????? ??? ??? ???? ????,"??? ?????? ?????? ?? ?????? ??? ????? ?? ????? ???? ?? ??? ?? ?? ?? ????? ?? ?? ??????? ?????? ????????? ?? ?????? ??? ??.",TRUE,"selected(${migrant_population}, 'returnee')",,,.>=${returnee_hhs},Returnee individuals must be equal to or larger than the number of Returnee households reported,???? ????? ???? ????? ??? ???? ????? ?? ????? ??????? ??? ???? ????? ??? ????,? ??????? ??? ? ?????? ???? ???? ? ??????? ??? ? ?????? ?? ???? ??? ???? ??,,,
calculate,returnee_indvl_coalesce,,,,,,,,,,,,,,,"coalesce(${returnee_indvl},0)",,
select_one country,returnee_origin,From where did MOST of these returnees travel from?,??????? ????? ??? ???? ????? ??? ?? ??? ???? ????,?????? ??????? ??? ????? ?? ??? ??? ??? ??????,,,,TRUE,${returnee_indvl}>0,,,,,,,,,
select_one pak_prov,returnee_paki_prov,What was the main province from which most returnees from Pakistan came?,??????? ???? ????? ??? ?? ?? ??????? ???? ?? ???? ????? ??????? ???? ????,? ??????? ? ???? ????/????? ??? ?????? ??????? ??? ????? ???? ??????,,,,TRUE,"selected(${returnee_origin}, 'pakistan')",,,,,,,,,
select_one iran_prov,returnee_iran_prov,What was the main province from which most returnees from Iran came?,??????? ???? ????? ???? ?? ?? ????? ???? ?? ???? ????? ????? ???? ??? ?,? ????? ? ??? ????? ??? ?????? ??????? ??? ????? ???? ??????,,,,TRUE,"selected(${returnee_origin}, 'iran')",,,,,,,,,
integer,returnee_3mo_hhs,How many of these returnee households arrived in the last 3 months?,?????? ?? 3 ??? ????? ?? ?? ????? ??????? ??? ???? ????? ???? ??? ???? ????,?????? ?? ???? 3 ?????? ?? ????? ???/???????? ?? ?????  ??????? ??? ????? ????? ???,,,,TRUE,${returnee_indvl}>0,,,.<=${returnee_hhs},Must be less than the number of returnee households reported living in the settlement,???? ???? ?? ????? ???? ??????? ???? ??????? ????,???? ? ???? ??????? ??? ?????? ?? ????? ??? ?? ?? ??? ?? ???? ?? ??? ?? ? ???? ????? ????? ??,,,
select_multiple return_challenge,recentreturn_challenge,Have any of these returnees faced challenges in integrating into your settlement?,??? ???? ???? ????? ? ???? ????? ???? ??? ?? ???? ???? ?? ????? ????,??? ???? ??? ??????? ??? ????? ??? ?? ????? ?? ??? ?? ??  ????? ??????? ??? ?? ??? ???,,,,TRUE,${returnee_3mo_hhs}>0,,,"not((selected(., 'none')) and count-selected(.) >1)",Cannot select 'none' and any other option,????? ???/??? ???? ?? ?? ?? ?? ????? ??? ???? ?????? ???? ?????????,? ??? ???? ? ???? ??????? ??? ????? ??? ??????????,,,
text,recentreturn_challenge_other,Specify other,???? ???? ?????,??? ???? ?? ???,,,,TRUE,"selected(${recentreturn_challenge}, 'other')",,,,,,,,,
integer,economic_hhs,How many economic migrant households are living in the settlement?,?? ?? ????? ??????? ????? ?? ????? ?????? ????? ??????? ???? ????? ??? ??? ???? ??? ????? ???????,????? ??????? ?????? ??? ????? ??? ???????? (???) ?? ???? ????,"For this assessment, an economic migrant is an Afghan National who left their homes by choice in order to seek employment or obtain money or resources. They did NOT leave home due to the threat of violence, human right violations, or man-made disasters.",???? ??????? ????? ??????? ?? ??? ???? ????? ?? ?????? ????????? ???? ? ???? ???? ??? ?? ??? ? ????? ??? ????? ?????? ??? ? ?????? ???? ???? ??? ???? ????. ?? ?? ??? ??? ? ????? ?? ???? ???? ?? ??? ????,"??? ?????? ?????? ?? ??????? ????? ?? ????? ???? ?? ?? ?? ??? ?????? ????? ???? ? ??? ?? ??? ????? ??? ?? ?? ???? ?? ???? ?????? ???. ??? ??? ?????? ? ??????????? ? ?????? ???? ????? ??? ? ??????? ?? ? ????? ?? ??? ??????? ????????? ?? ???? ??? ?????.",TRUE,"selected(${migrant_population}, 'economic')",,,,,,,,,
calculate,economic_hhs_coalesce,,,,,,,,,,,,,,,"coalesce(${economic_hhs},0)",,
integer,economic_indvl,How many economic migrant individuals are living in the settlement?,?? ?? ????? ???????? ?? ????? ?????? ????? ??????? ???? ????? ??? ??? ???? ??? ????? ???????,"????? ??????? ?????? ??? ???? ??? ??? ?? ???? ????
(??? ??? ?? ? ??????? ?????? ?? ?? ???? ?????? ??? ??)","For this assessment, an economic migrant is an Afghan National who left their homes by choice in order to seek employment or obtain money or resources. They did NOT leave home due to the threat of violence, human right violations, or man-made disasters.",???? ??????? ????? ??????? ?? ??? ???? ????? ?? ?????? ????????? ???? ? ???? ???? ??? ?? ??? ? ????? ??? ????? ?????? ??? ? ?????? ???? ???? ??? ???? ????. ?? ?? ??? ??? ? ????? ?? ???? ???? ?? ??? ????,"??? ?????? ?????? ?? ??????? ????? ?? ????? ???? ?? ?? ?? ??? ?????? ????? ???? ? ??? ?? ??? ????? ??? ?? ?? ???? ?? ???? ?????? ???. ??? ??? ?????? ? ??????????? ? ?????? ???? ????? ??? ? ??????? ?? ? ????? ?? ??? ??????? ????????? ?? ???? ??? ?????.",TRUE,"selected(${migrant_population}, 'economic')",,,.>=${economic_hhs},Economic migrant individuals must be equal to or larger than the number of economic migrant households reported,???? ????? ??????? ??? ??????? ???? ????? ?? ????? ??????? ??? ??????? ??? ??????? ????,? ??????? ?????? ??? ? ?????? ???? ???? ?  ??????? ?????? ??? ? ?????? ?? ???? ??? ???? ??,,,
calculate,economic_indvl_coalesce,,,,,,,,,,,,,,,"coalesce(${economic_indvl},0)",,
integer,nomad_hhs,How many nomad (Kuchi) households are living in the settlement permanently?,?? ?? ????? ??????? ??? ???? ???? ??? ?? ??? ????? ????? ?????? ?,? ??????? ????? ????? ??? ???????? (???)  ?? ????? ??? ????? ????,"For this assessment, a nomad is an Afghan national that traditionally does not have a fixed home or location of living, and regularly moves throughout the country as part of their livelihood.",???? ??????? ??? ???? ?? ??? ???? ????? ?? ?????? ????????? ?? ????? ???? ? ???? ? ??? ???? ???? ????? ???? ????? ? ??? ???? ?? ????? ???? ?? ?? ???? ????? ?? ??????,"??? ?????? ?????? ?? ???? ?? ????? ???? ?? ?? ? ????? ?? ??? ???? ??? ?? ??? ? ??????? ????? ?? ???? ?? ?? ?????? ??? ?? ??? ????? ?? ? ??? ???? ???? ? ??? ???? ?? ???? ????.",TRUE,"selected(${migrant_population}, 'nomad')",,,,,,,,,
calculate,nomad_hhs_coalesce,,,,,,,,,,,,,,,"coalesce(${nomad_hhs},0)",,
