district,nb_sites,idp_hhs,idp_indvl,prolonged_hhs,prolonged_indvl,protracted_hhs,protracted_indvl,refugee_hhs,refugee_indvl,returnee_hhs,returnee_indvl,economic_hhs,economic_indvl,nomad_hhs,nomad_indvl,host_hhs,host_indvl,iset_population_discrete,iset_population_mixed,location_urban,location_suburban,location_rural,idp_mixed,idp_discrete,prolong_mixed,prolong_discrete,protract_mixed,protract_discrete,refugee_mixed,refugee_discrete,returnee_mixed,returnee_discrete,economic_mixed,economic_discrete,nomad_mixed,nomad_discrete,migrant_population.idp,migrant_population.prolong,migrant_population.protract,migrant_population.refugee,migrant_population.returnee,relocate_plan_yes,relocate_plan_no,relocate_plan_dk,relocate_pushpull_1_label,relocate_pushpull_1_pct,relocate_pushpull_2_label,relocate_pushpull_2_pct,relocate_pushpull_3_label,relocate_pushpull_3_pct,five_years_yes,five_years_no,five_years_dk,idp_3mo_hhs,idp_prov_origin_1_label,idp_prov_origin_1_pct,idp_prov_origin_2_label,idp_prov_origin_2_pct,idp_prov_origin_3_label,idp_prov_origin_3_pct,returnee_3mo_hhs,returnee_origin_1_label,returnee_origin_1_pct,returnee_origin_2_label,returnee_origin_2_pct,returnee_origin_3_label,returnee_origin_3_pct,shelter_type_1_label,shelter_type_1_pct,shelter_type_2_label,shelter_type_2_pct,shelter_type_3_label,shelter_type_3_pct,tenure_insecure,hh_rooms,accom_1_label,accom_1_pct,accom_2_label,accom_2_pct,accom_3_label,accom_3_pct,host_relation_positive,host_relation_neutral,host_relation_negative,host_relation_prefer_not,eviction_threat_yes,eviction_threat_no,eviction_threat_dk,eviction_threat_local_auth,eviction_threat_gvt,eviction_threat_local_host_comm,eviction_threat_local_ot,comm_represent_yes,comm_represent_no,comm_represent_dk,relocation_yes,relocation_no,site_land_yes,site_land_no,site_land_dk,site_land_owner_gvt,site_land_owner_prv,site_land_owner_un,site_land_owner_common,site_land_owner_ot,water_distance_fs,water_source_fs,water_barrier_1_label,water_barrier_1_pct,water_barrier_2_label,water_barrier_2_pct,water_barrier_3_label,water_barrier_3_pct,health_distance_fs,health_satisfy_constraint_yes,health_satisfy_constraint_no,health_satisfy_constraint_dk,health_unsatisfy_constraint.crowded,health_unsatisfy_constraint.hours,health_unsatisfy_constraint.expensive,health_unsatisfy_constraint.drug_unavail,health_unsatisfy_constraint.staff_behave,health_unsatisfy_constraint.other,health_unsatisfy_constraint.dont_know,mhpss_aware_yes,mhpss_aware_no,mhpss_aware_dk,health_barrier_1_label,health_barrier_1_pct,health_barrier_2_label,health_barrier_2_pct,health_barrier_3_label,health_barrier_3_pct,safe_likert_verygood,safe_likert_good,safe_likert_neutral,safe_likert_poor,safe_likert_verypoor,move_free_m_yes,move_free_m_no,move_free_m_dk,move_why_m_1_label,move_why_m_1_pct,move_why_m_2_label,move_why_m_2_pct,move_why_m_3_label,move_why_m_3_pct,move_free_f_yes,move_free_f_no,move_free_f_dk,move_why_f_1_label,move_why_f_1_pct,move_why_f_2_label,move_why_f_2_pct,move_why_f_3_label,move_why_f_3_pct,livelihood_1_label,livelihood_1_pct,livelihood_2_label,livelihood_2_pct,livelihood_3_label,livelihood_3_pct,food_source_1_label,food_source_1_pct,food_source_2_label,food_source_2_pct,food_source_3_label,food_source_3_pct,vul_index_low,vul_index_moderate,vul_index_moderate_high,vul_index_high,covid_aware_yes,covid_aware_part,covid_aware_no,covid_concern_yes,covid_concern_no,covid_concern_dk,covid_info_1_label,covid_info_1_pct,covid_info_2_label,covid_info_2_pct,covid_info_3_label,covid_info_3_pct,covid_safeprac_1_label,covid_safeprac_1_pct,covid_safeprac_2_label,covid_safeprac_2_pct,covid_safeprac_3_label,covid_safeprac_3_pct,aid_govt_yes,aid_govt_no,aid_govt_dk,aid_services_1_label,aid_services_1_pct,aid_services_2_label,aid_services_2_pct,aid_services_3_label,aid_services_3_pct,vul_chronic_fs,soap_avail_yes,soap_avail_no,soap_avail_dk,using_public_facility,handwash_crowded_yes,handwash_crowded_no,handwash_crowded_dk,water_point_yes,water_point_no_further,water_point_no_none,tap_sanitize_all,tap_sanitize_some,tap_sanitize_no,tap_sanitize_dk,safety_change_increase,safety_change_decrease,safety_change_no,safety_change_dk,covid_coping_1_label,covid_coping_1_pct,covid_coping_2_label,covid_coping_2_pct,covid_coping_3_label,covid_coping_3_pct,mhpss_secondary_1_label,mhpss_secondary_1_pct,mhpss_secondary_2_label,mhpss_secondary_2_pct,mhpss_secondary_3_label,mhpss_secondary_3_pct,vul_sleeping_prop,covid_shelter_1_label,covid_shelter_1_pct,covid_shelter_2_label,covid_shelter_2_pct,covid_shelter_3_label,covid_shelter_3_pct,market_soldout_yes,market_soldout_no,market_soldout_dk,soldout_item_1_label,soldout_item_1_pct,soldout_item_2_label,soldout_item_2_pct,soldout_item_3_label,soldout_item_3_pct,work_change_fullstop,work_change_partstop,work_change_nostop,school_alternatives.other_facility,school_alternatives.home_school,school_alternatives.other,school_alternatives.no,school_alternatives.dont_know
daman,16,575,5315,2298,18830,1920,13550,0,0,280,2600,10,70,0,0,1582,11970,44,56,88,0,0,14.29,14.29,88.89,87.5,16.67,28.57142857142857,0,0,7.14,13.33,6.25,0,0,0,25,93.75,37.5,0,18.75,12,88,0,Better opportunity for jobs,100,No work opportunities available here,50,Intimidation and harassment by host community/local authorities,0,75,25,0,81,Helmand,25,Uruzgan,25,Badakhshan,0,25,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),81,Transitional Shelter,12,Permanent shelter (brick),6,44,3.9375,Rent shelter,50,Own shelter WITH documentation,25,Own shelter WITHOUT documentation,19,56,44,0,0,12,88,0,50,0,50,0,94,6,0,0,100,88,12,0,36,64,0,0,0,6,0,No barriers,87,Waterpoint has low capacity (runs out of water often),13,Long line/wait to access waterpoint,7,56,80,20,0,100,100,100,100,0,0,0,25,75,0,Cost of transport,62,Long travel time,46,No barriers,23,38,0,0,62,0,100,0,0,NA,NA,NA,NA,NA,NA,75,19,6,Government restrictions related to coronavirus,100,Discrimination / harrassment from host community,0,Socio-cultural barriers between settlement members and host community,0,Unskilled daily labour (without contract),56,Small business / sale of goods or services,25,Skilled daily labour / (without contract),12,Purchase in markets inside the settlement,53,Purchase in markets outside the settlement,53,NGO food distributions,7,6,50,44,0,100,0,0,100,0,0,"Media (TV, radio)",100,Healthcare workers,60,Family and friends,47,Practice physical distancing,93,Wash hands frequently,73,Wear masks and gloves if experiencing symptoms,53,25,75,0,Information on the coronavirus preventive measures at HOUSEHOLD level,75,Information on the coronavirus preventive measures at COMMUNITY level,25,Councelling for vulnerable residents,0,37.5,94,6,0,6.25,100,0,0,88,12,0,7,7,86,0,90,0,10,0,Social withdrawal,73,No unusual behavior,20,Angry / aggressive behaviour,7,Increased poverty/no income,100,Increased health issues,13,Increased gender-based violence,7,25,No preference for shelter aid,62,Provision of tents to accommodate sick persons inside the site,19,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,6,67,33,0,Food,100,Soap,0,Hand sanitizer and other hygiene materials,0,75,25,0,8.33,0,0,83.33,8.33
dand,4,0,0,850,5950,1100,7700,0,0,0,0,0,0,200,1400,0,0,100,0,0,0,25,0,0,NaN,100,NaN,100,0,0,0,0,0,0,0,25,0,100,100,0,0,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,75,5,Own shelter WITHOUT documentation,50,Rent shelter,25,Staying in shelter for free WITH owner's consent,25,100,0,0,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,25,75,100,0,0,0,100,0,0,0,0,0,No barriers,100,Long line/wait to access waterpoint,0,Unpleasant colour/taste/smell of water,0,25,100,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,0,0,No barriers,67,Cost of medicines,33,Insufficient capacity of health centre,33,100,0,0,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Unskilled daily labour (without contract),100,Small business / sale of goods or services,0,Skilled daily labour / (without contract),0,Purchase in markets inside the settlement,100,NGO food distributions,0,Purchase in markets outside the settlement,0,50,50,0,0,100,0,0,100,0,0,Government,100,"Media (TV, radio)",100,Healthcare workers,100,Wash hands frequently,100,Self-isolate if experiencing symtoms,100,Wear masks and gloves if experiencing symptoms,100,100,0,0,Information on the coronavirus preventive measures at HOUSEHOLD level,100,Information on the coronavirus preventive measures at COMMUNITY level,0,Councelling for vulnerable residents,0,0,100,0,0,0,NA,NA,NA,100,0,0,0,50,50,0,NA,NA,NA,NA,No unusual behavior,100,Social withdrawal,0,Angry / aggressive behaviour,0,Increased poverty/no income,100,Increased gender-based violence,0,Increased health issues,0,0,Provision of tents to accommodate sick persons inside the site,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,0,Relocation of unsick family members to other relatives,0,0,100,0,NA,NA,NA,NA,NA,NA,50,50,0,0,0,0,100,0
dand_wa_patan,1,60,540,0,0,0,0,0,0,0,0,0,0,0,0,20,180,0,100,100,0,0,100,NaN,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,20,Khost,100,Badakhshan,0,Badghis,0,0,NA,NA,NA,NA,NA,NA,Makeshift Shelter,100,Tents (emergency shelter),0,Transitional Shelter,0,0,4,Own shelter WITHOUT documentation,100,Own shelter WITH documentation,0,Rent shelter,0,100,0,0,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,0,100,100,0,0,100,0,0,0,0,0,0,No barriers,100,Long line/wait to access waterpoint,0,Unpleasant colour/taste/smell of water,0,0,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,0,0,Don't know where to go,100,Concern for physical safety,100,Cost of transport,0,0,0,0,100,0,100,0,0,NA,NA,NA,NA,NA,NA,0,100,0,Government restrictions related to coronavirus,100,Discrimination / harrassment from host community,0,Socio-cultural barriers between settlement members and host community,0,Skilled daily labour / (without contract),100,Small business / sale of goods or services,0,Unskilled daily labour (without contract),0,Purchase in markets outside the settlement,100,NGO food distributions,0,Purchase in markets inside the settlement,0,0,0,100,0,100,0,0,100,0,0,"Media (TV, radio)",100,Healthcare workers,100,Family and friends,100,Wash hands frequently,100,Practice physical distancing,100,Wear masks and gloves if experiencing symptoms,100,0,100,0,NA,NA,NA,NA,NA,NA,0,100,0,0,0,NA,NA,NA,100,0,0,0,0,100,0,100,0,0,0,Social withdrawal,100,Angry / aggressive behaviour,0,Dangerous/risky behaviours,0,Increased poverty/no income,100,Increased gender-based violence,0,Increased health issues,0,0,No preference for shelter aid,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,0,Provision of tents to accommodate sick persons inside the site,0,100,0,0,Food,100,Hand sanitizer and other hygiene materials,100,Soap,0,100,0,0,0,0,0,100,0
dangam,1,0,0,0,0,2,14,200,1400,0,0,0,0,0,0,200,1400,0,100,0,0,100,0,0,0,0,100,NaN,100,NaN,0,0,0,0,0,0,0,0,100,100,0,100,0,0,No work opportunities available here,100,Better security where they are moving,100,Intimidation and harassment by host community/local authorities,0,100,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,0,1,Own shelter WITH documentation,100,Own shelter WITHOUT documentation,0,Rent shelter,0,0,0,100,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,0,100,100,0,0,0,100,0,0,0,0,0,Long line/wait to access waterpoint,100,Unpleasant colour/taste/smell of water,0,Waterpoint has low capacity (runs out of water often),0,0,100,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,100,0,Insufficient capacity of health centre,100,Don't know where to go,0,Cost of transport,0,0,0,0,0,100,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Farming (cash crop),100,Small business / sale of goods or services,0,Unskilled daily labour (without contract),0,Purchase in markets inside the settlement,100,Purchase in markets outside the settlement,100,NGO food distributions,0,0,100,0,0,100,0,0,100,0,0,Community or religious leaders,100,Healthcare workers,100,Government,0,Wash hands frequently,100,Practice physical distancing,100,Self-isolate if experiencing symtoms,100,0,100,0,NA,NA,NA,NA,NA,NA,0,0,100,0,0,NA,NA,NA,100,0,0,0,0,100,0,0,0,100,0,Social withdrawal,100,Dangerous/risky behaviours,100,Angry / aggressive behaviour,0,Increased poverty/no income,100,Increased health issues,100,Increased gender-based violence,0,NaN,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,100,Provision of tents to accommodate sick persons inside the site,0,Relocation of unsick family members to other relatives,0,100,0,0,Food,100,Soap,100,Hand sanitizer and other hygiene materials,100,100,0,0,0,100,0,0,0
Dara-e-pech,2,130,1100,95,780,220,2160,0,0,60,480,40,300,0,0,1235,11880,0,100,0,0,50,100,NaN,100,NaN,100,NaN,0,0,100,NaN,50,0,0,0,100,100,100,0,100,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,0,NA,NA,NA,NA,NA,NA,0,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,0,2,Own shelter WITH documentation,100,Own shelter WITHOUT documentation,0,Rent shelter,0,100,0,0,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,0,100,100,0,0,0,100,0,0,0,50,0,Long line/wait to access waterpoint,100,Unpleasant colour/taste/smell of water,0,Waterpoint has low capacity (runs out of water often),0,50,100,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,100,0,Insufficient capacity of health centre,100,Don't know where to go,0,Cost of transport,0,100,0,0,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Unskilled daily labour (without contract),100,Small business / sale of goods or services,0,Skilled daily labour / (without contract),0,Purchase in markets inside the settlement,100,NGO food distributions,0,Purchase in markets outside the settlement,0,0,50,50,0,100,0,0,100,0,0,Government,100,Community or religious leaders,100,"Media (TV, radio)",100,Wash hands frequently,100,Practice physical distancing,0,Self-isolate if experiencing symtoms,0,0,100,0,NA,NA,NA,NA,NA,NA,0,50,50,0,0,NA,NA,NA,50,50,0,0,0,100,0,NA,NA,NA,NA,Social withdrawal,100,Angry / aggressive behaviour,0,Dangerous/risky behaviours,0,Increased gender-based violence,100,Increased poverty/no income,0,Increased health issues,0,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,100,Provision of tents to accommodate sick persons inside the site,0,Relocation of unsick family members to other relatives,0,0,100,0,NA,NA,NA,NA,NA,NA,0,100,0,0,100,0,0,0
dara_e_pech,7,110,790,298,2536,116,952,3,23,254,2198,132,1104,0,0,1503,11841,0,100,43,0,57,85.71,0,85.71,0,100,NaN,28.57,0,85.71,0,85.71,0,0,0,85.71,85.71,100,28.57,85.71,29,71,0,Intimidation and harassment by host community/local authorities,50,No work opportunities available here,50,Land dispute forced them off land / shelter,0,86,14,0,8,Kunar,50,Nuristan,50,Badakhshan,0,0,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,14,1.4285714285714286,Own shelter WITH documentation,86,Staying in shelter for free WITH owner's consent,14,Own shelter WITHOUT documentation,0,71,29,0,0,0,86,14,NaN,NaN,NaN,NaN,100,0,0,0,100,100,0,0,0,100,0,0,0,0,0,Long line/wait to access waterpoint,86,Unpleasant colour/taste/smell of water,14,Waterpoints are too far,14,71,83,17,0,100,100,0,100,0,0,0,0,86,14,Cost of care/ treatment,50,Cost of medicines,50,Cost of transport,33,86,0,14,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Unskilled daily labour (without contract),57,Farming (cash crop),43,Small business / sale of goods or services,0,Purchase in markets inside the settlement,86,Purchase in markets outside the settlement,43,Own production,14,0,0,100,0,100,0,0,100,0,0,Government,71,"Media (TV, radio)",71,Text message alerts,57,Wash hands frequently,100,Self-isolate if experiencing symtoms,43,Practice physical distancing,29,0,100,0,NA,NA,NA,NA,NA,NA,28.57142857142857,57,43,0,71.42857142857143,20,80,0,100,0,0,0,0,100,0,0,0,100,0,Social withdrawal,86,Angry / aggressive behaviour,43,Dangerous/risky behaviours,29,Increased poverty/no income,100,Increased gender-based violence,71,Increased health issues,29,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,86,Shelter repair support to upgrade and repair settlement shelters,14,Provision of tents to accommodate sick persons inside the site,0,43,57,0,Food,100,Soap,67,Hand sanitizer and other hygiene materials,67,86,14,0,0,71.43,0,28.57,0
dara_e_suf_e_bala,2,0,0,0,0,320,1670,0,0,0,0,0,0,0,0,45,250,50,50,0,0,100,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,0,2.5,Own shelter WITH documentation,100,Own shelter WITHOUT documentation,0,Rent shelter,0,50,0,50,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,50,50,100,0,0,0,100,0,0,0,0,0.5,Long line/wait to access waterpoint,100,Unpleasant colour/taste/smell of water,0,Waterpoint has low capacity (runs out of water often),0,0,0,100,0,50,0,100,100,100,0,0,0,100,0,Cost of care/ treatment,100,Cost of medicines,100,Cost of transport,50,50,0,0,0,50,50,50,0,Discrimination / harrassment from host community,100,Socio-cultural barriers between settlement members and host community,100,Government restrictions related to coronavirus,0,50,50,0,Discrimination / harrassment from host community,100,Socio-cultural barriers between settlement members and host community,100,Government restrictions related to coronavirus,0,Unskilled daily labour (without contract),50,Farming (cash crop),50,Small business / sale of goods or services,0,Purchase in markets inside the settlement,100,Own production,100,Purchase in markets outside the settlement,50,0,50,50,0,50,50,0,100,0,0,"Media (TV, radio)",100,Text message alerts,100,Family and friends,100,Wash hands frequently,50,Self-isolate if experiencing symtoms,50,Avoid large crowds and gatherings,50,0,100,0,NA,NA,NA,NA,NA,NA,100,100,0,0,0,NA,NA,NA,100,0,0,0,0,100,0,100,0,0,0,No unusual behavior,100,Social withdrawal,0,Angry / aggressive behaviour,0,Increased poverty/no income,100,Increased gender-based violence,0,Increased health issues,0,0,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,100,Provision of tents to accommodate sick persons inside the site,0,Relocation of unsick family members to other relatives,0,0,100,0,NA,NA,NA,NA,NA,NA,50,50,0,50,0,0,50,0
dara_e_suf_e_payin,1,0,0,150,500,0,0,0,0,0,0,0,0,0,0,200,750,0,100,0,0,100,0,0,100,NaN,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,0,2,Own shelter WITH documentation,100,Own shelter WITHOUT documentation,0,Rent shelter,0,0,0,100,0,0,100,0,NaN,NaN,NaN,NaN,0,100,0,0,100,100,0,0,0,100,0,0,0,0,1,Unpleasant colour/taste/smell of water,100,Long line/wait to access waterpoint,0,Waterpoint has low capacity (runs out of water often),0,0,0,100,0,0,0,100,100,0,0,0,0,100,0,Cost of medicines,100,Don't know where to go,0,Cost of transport,0,0,0,0,0,100,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Farming (cash crop),100,Small business / sale of goods or services,0,Unskilled daily labour (without contract),0,Purchase in markets outside the settlement,100,Own production,100,NGO food distributions,0,0,0,100,0,100,0,0,100,0,0,Government,100,Community or religious leaders,100,"Media (TV, radio)",100,Wash hands frequently,100,Self-isolate if experiencing symtoms,100,Wear masks and gloves if experiencing symptoms,100,0,100,0,NA,NA,NA,NA,NA,NA,100,100,0,0,0,NA,NA,NA,100,0,0,0,0,100,0,100,0,0,0,No unusual behavior,100,Social withdrawal,0,Angry / aggressive behaviour,0,Increased poverty/no income,100,Increased gender-based violence,0,Increased health issues,0,0,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,100,Provision of tents to accommodate sick persons inside the site,0,Relocation of unsick family members to other relatives,0,0,100,0,NA,NA,NA,NA,NA,NA,0,100,0,NaN,NaN,NaN,NaN,NaN
dawlatabad_balkh,1,100,700,300,2000,200,900,0,0,400,3000,0,0,0,0,300,2000,0,100,100,0,0,100,NaN,100,NaN,100,NaN,0,0,100,NaN,0,0,0,0,100,100,100,0,100,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,200,Badakhshan,0,Badghis,0,Baghlan,0,40,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,100,2,Own shelter WITH documentation,100,Own shelter WITHOUT documentation,0,Rent shelter,0,100,0,0,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,0,100,100,0,0,0,100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,100,0,0,100,0,100,100,100,0,0,0,100,0,NA,NA,NA,NA,NA,NA,0,0,100,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Farming (cash crop),100,Small business / sale of goods or services,0,Unskilled daily labour (without contract),0,NA,NA,NA,NA,NA,NA,0,100,0,0,100,0,0,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,100,0,NA,NA,NA,NA,NA,NA,0,100,0,0,0,NA,NA,NA,100,0,0,0,0,100,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,Relocation of unsick family members to other relatives,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,0,Provision of tents to accommodate sick persons inside the site,0,0,100,0,NA,NA,NA,NA,NA,NA,0,100,0,100,0,0,0,0
dawlatyar,1,0,0,0,0,40,350,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,NaN,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,100,2,Own shelter WITH documentation,100,Own shelter WITHOUT documentation,0,Rent shelter,0,0,100,0,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,0,100,100,0,0,0,100,0,0,0,0,0,No barriers,100,Long line/wait to access waterpoint,0,Unpleasant colour/taste/smell of water,0,0,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,100,0,Cost of care/ treatment,100,Cost of medicines,100,Denied access/ treatment,100,100,0,0,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Unskilled daily labour (without contract),100,Small business / sale of goods or services,0,Skilled daily labour / (without contract),0,Purchase in markets inside the settlement,100,Purchase in markets outside the settlement,100,NGO food distributions,0,0,0,100,0,100,0,0,100,0,0,Community or religious leaders,100,"UN, NGOs or INGOs",100,Healthcare workers,100,Wash hands frequently,100,Self-isolate if experiencing symtoms,100,Do not touch your face,100,0,100,0,NA,NA,NA,NA,NA,NA,0,100,0,0,100,0,100,0,100,0,0,0,0,100,0,NA,NA,NA,NA,No unusual behavior,100,Social withdrawal,0,Angry / aggressive behaviour,0,Increased poverty/no income,100,Increased gender-based violence,0,Increased health issues,0,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,100,Provision of tents to accommodate sick persons inside the site,0,Relocation of unsick family members to other relatives,0,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,0,0,0,100,0
deh_bala,2,0,0,50,350,250,1800,0,0,100,750,0,0,0,0,450,3200,0,100,0,0,100,0,0,50,0,100,NaN,0,0,100,NaN,0,0,0,0,0,50,100,0,100,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,0,NA,NA,NA,NA,NA,NA,8,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,0,3.5,Own shelter WITHOUT documentation,50,Staying in shelter for free WITH owner's consent,50,Own shelter WITH documentation,0,100,0,0,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,0,100,100,0,0,0,100,0,0,0,50,0,Waterpoints are too far,100,Long line/wait to access waterpoint,50,Unpleasant colour/taste/smell of water,50,50,50,50,0,100,0,0,100,100,0,0,100,0,0,Cost of transport,100,Cost of care/ treatment,100,Cost of medicines,100,100,0,0,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Small business / sale of goods or services,100,Unskilled daily labour (without contract),0,Skilled daily labour / (without contract),0,Purchase in markets outside the settlement,100,Purchase in markets inside the settlement,50,NGO food distributions,0,0,50,50,0,100,0,0,100,0,0,"Media (TV, radio)",100,Text message alerts,100,Government,50,Wash hands frequently,100,Wear masks and gloves if experiencing symptoms,100,Practice physical distancing,50,100,0,0,Information on the coronavirus preventive measures at COMMUNITY level,100,Information on the coronavirus preventive measures at HOUSEHOLD level,0,Councelling for vulnerable residents,0,0,50,50,0,0,0,100,0,50,50,0,0,0,100,0,NA,NA,NA,NA,Angry / aggressive behaviour,100,Dangerous/risky behaviours,100,Social withdrawal,50,Increased gender-based violence,100,Increased poverty/no income,100,Increased health issues,100,0,"Construction of a large temporary shelter (plastic tarpaulin, plywood, etc.) for 15-30 people to accommodate all sick individuals within the settlement",100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,0,Provision of tents to accommodate sick persons inside the site,0,100,0,0,Food,100,Soap,100,Hand sanitizer and other hygiene materials,100,100,0,0,100,0,0,0,0
